,file_id,noisy,sgmsvs,melroformer_bigvgan,melroformer_small,melroformer_large,htdemucs
0,fileid_0,8.087791442871094,7.728795528411865,6.7405595779418945,5.637262344360352,7.126614093780518,6.80646276473999
1,fileid_1,7.509706497192383,7.354369640350342,6.206446647644043,7.00941801071167,6.903213977813721,6.557562351226807
2,fileid_10,7.946476459503174,7.455078601837158,6.723016738891602,6.946584701538086,7.4249467849731445,6.259836196899414
3,fileid_11,4.486020088195801,4.762953758239746,4.487852573394775,5.029554843902588,5.456541538238525,4.400063514709473
4,fileid_12,8.246368408203125,7.326274871826172,7.375827312469482,7.098748683929443,7.684997081756592,7.390307426452637
5,fileid_13,7.267638683319092,6.708317756652832,7.73347282409668,6.996427059173584,7.244107246398926,5.870499610900879
6,fileid_14,7.548023700714111,7.6511383056640625,7.693929195404053,6.586894512176514,7.7457685470581055,4.854833126068115
7,fileid_15,7.756733417510986,7.297080993652344,7.36089563369751,4.387250900268555,7.110697269439697,5.006389617919922
8,fileid_16,6.0301594734191895,6.9643635749816895,6.499838829040527,6.122798919677734,6.735800743103027,5.721975326538086
9,fileid_17,8.191754341125488,7.28788423538208,7.3427839279174805,6.911696910858154,7.037143230438232,6.4054741859436035
10,fileid_18,6.374000072479248,5.99665641784668,7.074398040771484,6.126265048980713,5.9260077476501465,5.000092029571533
11,fileid_19,7.876906394958496,7.368173599243164,7.429311275482178,7.208888530731201,7.679402828216553,6.645076274871826
12,fileid_2,7.516251087188721,5.112618446350098,5.604572296142578,4.731169700622559,5.590154647827148,4.284482479095459
13,fileid_20,5.191234111785889,7.024026870727539,6.6366095542907715,6.091516494750977,6.495563507080078,5.958721160888672
14,fileid_21,7.1983208656311035,6.797703266143799,6.62075662612915,5.667081356048584,7.071876049041748,5.9022297859191895
15,fileid_22,6.851256847381592,7.291641712188721,7.527314186096191,7.285956859588623,7.4707746505737305,7.000392436981201
16,fileid_23,6.922933101654053,7.364044189453125,7.153148651123047,6.79327392578125,7.771064281463623,5.802123069763184
17,fileid_24,6.980050563812256,7.864727020263672,7.588519096374512,7.667180061340332,7.791243553161621,7.2979326248168945
18,fileid_25,7.9252142906188965,7.828102111816406,8.02102279663086,7.882147789001465,7.992077827453613,6.7253899574279785
19,fileid_26,8.143585205078125,7.838024139404297,7.866008281707764,7.57940149307251,7.739089012145996,6.889031410217285
20,fileid_27,8.080937385559082,7.570796966552734,7.4706621170043945,8.07315731048584,7.125996112823486,6.796329021453857
21,fileid_28,8.086097717285156,7.020538806915283,7.436282634735107,6.0373854637146,5.560521125793457,6.788411617279053
22,fileid_29,6.813998222351074,6.282200813293457,5.9045915603637695,4.404687404632568,5.276673316955566,4.267234802246094
23,fileid_3,7.698569297790527,7.299952983856201,7.147590637207031,6.751795768737793,6.638748645782471,5.457909107208252
24,fileid_30,6.708420753479004,7.271017551422119,7.488018989562988,7.128359794616699,7.780383110046387,6.3680267333984375
25,fileid_31,8.14720630645752,7.659243106842041,7.658111572265625,6.488162994384766,7.855802059173584,6.741227626800537
26,fileid_32,6.879096508026123,6.181828022003174,6.42855978012085,5.956172466278076,6.601722717285156,5.985571384429932
27,fileid_33,7.105399131774902,7.4998674392700195,7.52353048324585,6.399439334869385,7.087885856628418,6.9070940017700195
28,fileid_34,7.634141445159912,6.118121147155762,6.789055347442627,6.344968318939209,6.956516742706299,5.411012649536133
29,fileid_35,7.26287841796875,7.428718090057373,7.129505634307861,7.070521831512451,7.584239482879639,6.335865497589111
30,fileid_36,7.124602794647217,6.615013599395752,5.2145209312438965,4.604461669921875,7.29132080078125,4.799302577972412
31,fileid_37,7.770842552185059,7.922255516052246,6.629687309265137,5.940027236938477,7.8986005783081055,4.407479763031006
32,fileid_38,7.952485084533691,7.674519062042236,7.3432722091674805,4.685979843139648,6.133950233459473,3.627410888671875
33,fileid_39,8.412531852722168,7.589391231536865,6.8461127281188965,6.320720672607422,7.791179656982422,5.616743564605713
34,fileid_4,7.973397254943848,6.543317794799805,6.241453170776367,5.866201400756836,6.139763832092285,6.116966724395752
35,fileid_40,6.669167518615723,4.535301208496094,5.711596965789795,5.027358055114746,4.471220970153809,4.644626617431641
36,fileid_41,7.777902126312256,6.36613655090332,6.1279072761535645,4.739504814147949,6.69047212600708,4.746548175811768
37,fileid_42,7.448615550994873,8.124495506286621,7.967193126678467,7.762758255004883,7.7580766677856445,7.010806560516357
38,fileid_43,7.910618782043457,7.883584499359131,7.828032970428467,6.105493545532227,8.077260971069336,6.031512260437012
39,fileid_44,8.227944374084473,7.456726551055908,7.715339660644531,7.5994343757629395,7.873534202575684,7.897946357727051
40,fileid_45,5.875938415527344,7.173226356506348,6.833819389343262,6.875441074371338,6.536835670471191,7.184344291687012
41,fileid_46,8.198451042175293,7.070478916168213,7.74472188949585,6.333532810211182,7.415529251098633,6.455636024475098
42,fileid_47,7.222509384155273,7.269686698913574,5.298898696899414,6.161436080932617,7.254174709320068,6.913693904876709
43,fileid_48,6.3373517990112305,6.326627731323242,4.971304893493652,4.811454772949219,6.230686187744141,4.680484771728516
44,fileid_49,6.348504543304443,7.1249918937683105,5.869637489318848,6.756167888641357,6.934563636779785,5.754571914672852
45,fileid_5,7.254148483276367,6.884802341461182,6.908065319061279,6.313573360443115,6.948525428771973,5.387560844421387
46,fileid_6,7.4680962562561035,7.360177993774414,7.786450386047363,5.890390872955322,7.759434223175049,4.791286945343018
47,fileid_7,7.835659027099609,7.110329627990723,7.430759429931641,6.891810894012451,7.70955228805542,5.524479866027832
48,fileid_8,6.804331302642822,6.02401065826416,5.699080467224121,5.45943021774292,5.490166187286377,5.441854476928711
49,fileid_9,7.250843048095703,6.674959659576416,6.766414642333984,4.929635047912598,8.002144813537598,5.726012706756592
