,file_id,noisy,sgmsvs,melroformer_bigvgan,melroformer_small,melroformer_large,htdemucs
0,fileid_0,inf,inf,146.75836169238175,151.7643851980736,144.23110853148745,inf
1,fileid_1,150.5149978319906,inf,inf,inf,inf,inf
2,fileid_10,inf,inf,146.53559774527022,inf,inf,148.75408524143378
3,fileid_11,inf,inf,inf,inf,inf,inf
4,fileid_12,145.39616422220183,inf,146.99317265087697,inf,inf,152.55619765854985
5,fileid_13,inf,inf,156.53559774527022,inf,inf,148.40646417884165
6,fileid_14,148.08461734512764,156.53559774527022,inf,144.23110853148745,inf,inf
7,fileid_15,inf,153.5252977886304,147.5046978753508,inf,inf,inf
8,fileid_16,153.5252977886304,inf,inf,inf,inf,145.56649761518963
9,fileid_17,154.7746851547134,inf,inf,inf,148.08461734512764,146.32370475457083
10,fileid_18,149.13197085032778,151.7643851980736,inf,inf,146.12167089368796,151.7643851980736
11,fileid_19,129.42596655531696,inf,inf,148.40646417884165,145.07431738848783,152.55619765854985
12,fileid_2,inf,149.54589770191004,156.53559774527022,inf,inf,inf
13,fileid_20,inf,145.23226006032016,153.5252977886304,147.2414084881273,147.5046978753508,156.53559774527022
14,fileid_21,inf,inf,inf,inf,inf,159.54589770191004
15,fileid_22,146.32370475457083,134.5904543264454,142.47019594093064,136.55736693781287,137.09077102376847,133.40747948314916
16,fileid_23,145.23226006032016,inf,inf,inf,146.53559774527022,145.39616422220183
17,fileid_24,inf,inf,150.00347260751678,inf,142.73348532815413,148.08461734512764
18,fileid_25,inf,150.00347260751678,149.54589770191004,142.3031390059021,149.54589770191004,144.6322807635673
19,fileid_26,inf,146.75836169238175,inf,inf,inf,inf
20,fileid_27,122.50610945182373,inf,148.40646417884165,inf,143.86388046124006,inf
21,fileid_28,140.795285067993,149.13197085032778,142.38586426556202,156.53559774527022,143.98287269423716,138.61168085028763
22,fileid_29,149.13197085032778,inf,156.53559774527022,153.5252977886304,148.08461734512764,154.7746851547134
23,fileid_3,146.53559774527022,144.7746851547134,inf,inf,inf,143.11137093704812
24,fileid_30,inf,inf,150.00347260751678,146.75836169238175,inf,inf
25,fileid_31,inf,145.23226006032016,142.47019594093064,143.98287269423716,inf,153.5252977886304
26,fileid_32,144.6322807635673,152.55619765854985,149.54589770191004,159.54589770191004,inf,143.52529778863038
27,fileid_33,144.92191772292045,153.5252977886304,inf,inf,inf,inf
28,fileid_34,146.75836169238175,148.08461734512764,153.5252977886304,inf,inf,inf
29,fileid_35,inf,150.5149978319906,inf,150.5149978319906,inf,inf
30,fileid_36,inf,inf,144.36075830313115,137.0661650382919,143.313404797931,136.3652643522823
31,fileid_37,138.86403908444836,144.23110853148745,149.13197085032778,147.5046978753508,inf,inf
32,fileid_38,145.9286193417341,inf,inf,inf,145.39616422220183,inf
33,fileid_39,144.92191772292045,146.99317265087697,152.55619765854985,148.75408524143378,inf,inf
34,fileid_4,146.99317265087697,inf,inf,inf,156.53559774527022,inf
35,fileid_40,inf,141.5524922073742,159.54589770191004,inf,inf,159.54589770191004
36,fileid_41,inf,inf,inf,149.54589770191004,inf,148.08461734512764
37,fileid_42,147.2414084881273,147.5046978753508,142.91831938509426,inf,154.7746851547134,150.5149978319906
38,fileid_43,inf,inf,144.23110853148745,inf,inf,inf
39,fileid_44,145.39616422220183,inf,inf,141.3504583464913,149.54589770191004,inf
40,fileid_45,inf,147.78498511135322,154.7746851547134,inf,151.09491730176745,inf
41,fileid_46,145.56649761518963,150.00347260751678,inf,143.7480617357419,148.75408524143378,154.7746851547134
42,fileid_47,inf,inf,inf,inf,inf,inf
43,fileid_48,inf,147.5046978753508,154.7746851547134,inf,inf,147.2414084881273
44,fileid_49,inf,inf,inf,inf,145.39616422220183,inf
45,fileid_5,inf,inf,inf,inf,145.9286193417341,151.09491730176745
46,fileid_6,inf,inf,inf,inf,140.91266910070544,145.56649761518963
47,fileid_7,inf,153.5252977886304,inf,inf,inf,159.54589770191004
48,fileid_8,150.5149978319906,inf,inf,149.54589770191004,147.2414084881273,146.53559774527022
49,fileid_9,inf,inf,152.55619765854985,144.7746851547134,inf,150.5149978319906
