trial_uid,file_id,model_name,meta_audiobox_aes_PQ,fad_song2song_music2latent_df,ops,tps,emb_mse_music2latent_df,singmos,fad_song2song_mert_df,ips,sdr,fad_song2song_clap_audio_df,multi_res_loss,emb_mse_mert_df,meta_audiobox_aes_CU,pam,sir,fad_song2song_clap_music_df,emb_mse_clap_music_df,sisdr,visqol,emb_mse_clap_audio_df,xls_r_sqa,isr,sar,aps
dcr_test_svs_eval_group1_trial_27,fileid_6,sgmsvs,7.360177993774414,36.46616174458508,21.33633335935032,10.553575490126253,0.9214,3.004526853561402,52.97396024476271,73.610204051635,1.172713367617826,0.3498003764081814,2.0608954,0.1876,5.821061611175537,0.9456051588058472,6.241987693540365,0.4179214786406345,0.0007753,-1.1494295497801943,2.10554307,0.000647,1.650315284729004,4.144025809014258,1.4385027466602054,15.412943903682748
dcr_test_svs_eval_group1_trial_28,fileid_44,melroformer_large,7.873534202575684,2.7489260469507,30.72310218759072,56.33860745560318,0.0576,2.4120495319366455,10.133677881941937,77.30519374322513,20.239332883987203,0.154844889773653,0.5170307,0.0353,7.324587345123291,0.6526006460189819,20.825996943756373,0.1508261566974099,0.000262,20.168684474451663,4.35979926,0.0002773,1.7432358264923096,31.64186030808937,20.270472258214017,86.73836752142613
dcr_test_svs_eval_group1_trial_29,fileid_23,melroformer_bigvgan,7.153148651123047,13.248362472171578,10.50531706689466,29.876742560202352,0.3237,3.957559108734131,24.257774761558125,81.99188268017689,-4.597792084927599,0.1851205153743085,0.96123374,0.0744,5.718811511993408,0.969630479812622,12.971031508690023,0.1658633595531685,0.0002913,-15.471289271159396,4.18771909,0.0003273,2.781893253326416,-0.908862553651938,-4.1976450854566165,14.309255609782316
dcr_test_svs_eval_group1_trial_3,fileid_20,melroformer_large,6.495563507080078,9.043074888311082,45.585016387341796,64.7083813125885,0.1879,4.002063751220703,16.359067073640915,62.02335515433008,14.196484979686003,0.1490016403479729,1.1380806,0.0534,5.650339126586914,0.960970103740692,22.113822440971287,0.2563188335096702,0.0004468,13.81588554875936,3.70254977,0.0002668,1.6756689548492432,16.781308265646423,14.340147712528148,51.63925155646027
dcr_test_svs_eval_group1_trial_30,fileid_12,melroformer_large,7.684997081756592,4.518134307564196,45.52077769795707,67.51016517857956,0.1125,4.18033504486084,19.163804644196375,60.69662225391074,20.13963666034593,0.123142706496464,0.96616447,0.0586,7.170276641845703,0.9213917255401612,24.04336088091729,0.2284543544430008,0.0004048,19.713048756890828,3.01241464,0.0002198,3.4052505493164062,25.402622063191785,20.211804521060166,57.09175940867507
dcr_test_svs_eval_group1_trial_31,fileid_12,melroformer_bigvgan,7.375827312469482,14.488551720529388,6.405463786438499,32.64957572179443,0.4382,3.8344008922576904,23.601036165077577,82.30875614545992,-9.227501899601616,0.1880751593610686,0.98152673,0.08624,6.541245937347412,0.8749596476554871,5.920381779303002,0.2054768998701498,0.0003645,-20.368443862116266,3.28896806,0.0003455,2.3547630310058594,-1.217970457133584,-6.9474162908591675,9.5064185976788
dcr_test_svs_eval_group1_trial_32,fileid_1,htdemucs,6.557562351226807,9.26782434686615,42.858181954182086,62.29613633191656,0.2168,3.3066797256469727,24.469440959019664,57.25061620010513,7.876522026179787,0.187201932790202,1.1352563,0.089,6.8619794845581055,0.8682798743247986,10.979343572799271,0.2580311755512122,0.0004668,6.169146855319305,4.28579172,0.0003371,1.95760977268219,9.438950520576023,8.002937180137238,60.085473732914295
dcr_test_svs_eval_group1_trial_34,fileid_43,melroformer_large,8.077260971069336,6.470760343518023,26.646857110593132,41.6113411422544,0.1451,3.783815622329712,36.16748190052982,75.25436956451126,16.369096781769652,0.1430140685703789,0.94092906,0.11145,6.260047912597656,0.970149576663971,22.55371135310601,0.2584155376216674,0.0004706,16.04401003158307,3.85611385,0.0002596,2.9569215774536133,20.317940036609237,16.52592284716412,24.063845215291387
dcr_test_svs_eval_group1_trial_35,fileid_5,melroformer_large,6.948525428771973,7.550818271736404,47.34887615671651,61.306604235526464,0.1648,4.4141621589660645,26.428881525408087,65.8514067159225,13.541929564126406,0.1162548448213559,1.16152,0.0739,6.092629432678223,0.967536449432373,20.15705528577856,0.2110076926312225,0.0003753,13.33116946476939,3.52391252,0.0002111,3.4246091842651367,17.156425760051853,13.611589668050852,50.2461424913128
dcr_test_svs_eval_group1_trial_36,fileid_29,htdemucs,4.267234802246094,11.955394812461035,46.39680879547778,67.19905408222114,0.3137,3.475034475326538,42.14090637245633,61.59843341397788,8.842795703159394,0.2661200122876881,1.2407087,0.1411,4.156245708465576,0.4494228363037109,13.193591455090154,0.3114165925246251,0.0005727,8.206807614482148,2.87799016,0.0004745,1.7818347215652466,13.747782165432202,8.918738675550088,60.12219405185781
dcr_test_svs_eval_group1_trial_37,fileid_0,melroformer_large,7.126614093780518,2.0563645568845033,12.09201092568734,49.11266345648894,0.03998,3.2878007888793945,15.910346019728069,48.179271707676705,22.245703907555793,0.1742153282066809,0.8534458,0.03123,5.682848930358887,0.7319988012313843,27.17079471044442,0.2148278729563048,0.00038,21.82438784453951,4.47324561,0.0003054,1.7317631244659424,25.882393910873446,22.33544204312441,78.40613928239017
dcr_test_svs_eval_group1_trial_38,fileid_40,melroformer_small,5.027358055114746,12.872483571048477,39.33183375106993,49.1358655330302,0.2815,2.7589175701141357,23.340319647766876,66.32671428546068,7.388112055065879,0.1867621831297312,1.5559906,0.0913,3.952831745147705,0.53934246301651,12.230251262712278,0.3539328073336459,0.000653,6.5045394217804064,3.14495085,0.0003414,1.432694911956787,9.923777178925222,7.542829053024258,45.13377781485456
dcr_test_svs_eval_group1_trial_39,fileid_44,melroformer_small,7.5994343757629395,2.9699346433171314,51.81630410393036,67.67487226098591,0.0626,2.883578062057495,11.689624566463664,66.91705853964453,23.118174457699673,0.1705290906797959,0.48576117,0.0372,6.4425740242004395,0.6747350692749023,25.501962012697327,0.166820347407742,0.0002985,22.151260249439364,4.25823363,0.0003083,1.7779688835144043,25.93285152636096,23.22189331762106,64.4924511550298
